"date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","ratified_name","verification_status","network_parameter_id","network_id"
2010-01-01,2011-01-01,"gla3","Glasgow Centre","pm25",12.437579,65341,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"gla3","Glasgow Centre","pm25",10.169572,65341,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"gla3","Glasgow Centre","pm25",9.60656,65341,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"gla4","Glasgow Kerbside","pm25",23.050847,65664,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"gla4","Glasgow Kerbside","pm25",22.389163,65664,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"gla4","Glasgow Kerbside","pm25",19.689761,65664,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"gran","Grangemouth","pm25",11.009104,65289,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"gran","Grangemouth","pm25",10.936294,65289,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"gran","Grangemouth","pm25",10.500759,65289,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"har","Harwell","pm25",10.285698,24460,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,12,"RURAL"
2011-01-01,2012-01-01,"har","Harwell","pm25",11.8599,24460,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,12,"RURAL"
2012-01-01,2013-01-01,"har","Harwell","pm25",12.821801,24460,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,12,"RURAL"
2010-01-01,2011-01-01,"har","Harwell","gr25",8.637195,65259,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1003,"RURAL"
2011-01-01,2012-01-01,"har","Harwell","gr25",10.136808,65259,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1003,"RURAL"
2012-01-01,2013-01-01,"har","Harwell","gr25",8.053254,65259,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1003,"RURAL"
2010-01-01,2011-01-01,"hg1","Haringey Roadside","pm25",17.479529,65471,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"hg1","Haringey Roadside","pm25",19.251093,65471,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"hg1","Haringey Roadside","pm25",17.610154,65471,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"hope","Stanford-le-Hope Roadside","pm25",15.176798,65524,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
